location_id,location,year,sex,age_group,cause,measure,metric,value,upper,lower
158,South Asia,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,1223482.5974271838,1471983.4642941577,945702.193184465
158,South Asia,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.1096443865039108,0.1317545274082735,0.0856705694211688
158,South Asia,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,139.03195850446815,167.27066192634467,107.46603863176914
31,"Central Europe, Eastern Europe, and Central Asia",1980,Both,All ages,Cardiovascular diseases,Deaths,Number,2120917.3484086185,2167118.5609828955,2053030.071947719
31,"Central Europe, Eastern Europe, and Central Asia",1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.5266121842726401,0.5379010129448651,0.5096456010213097
31,"Central Europe, Eastern Europe, and Central Asia",1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,536.6885690762458,548.3795775375993,519.5099999586794
1,Global,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,12116561.690830473,13048659.658636544,11028346.853724385
1,Global,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2635122294367005,0.282839026223867,0.2390958111390663
1,Global,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,271.10940639092644,291.9652013926828,246.7604791918104
64,High-income,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,3380104.519352037,3492354.3919451884,3164433.3586987657
64,High-income,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4497298695672128,0.4645411734426647,0.4211107553535694
64,High-income,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,398.6759229232765,411.915549478574,373.2379820166856
103,Latin America and Caribbean,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,464135.2034913717,477806.4929819231,444974.5125727284
103,Latin America and Caribbean,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2040069627695095,0.2095017881783454,0.1958233763358705
103,Latin America and Caribbean,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,144.36591153482132,148.61826764638843,138.40611665328905
4,"Southeast Asia, East Asia, and Oceania",1980,Both,All ages,Cardiovascular diseases,Deaths,Number,3783328.5279292064,4300892.320541604,3157909.8469345034
4,"Southeast Asia, East Asia, and Oceania",1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.3111321768475242,0.3521030929555624,0.2592386613884249
4,"Southeast Asia, East Asia, and Oceania",1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,271.3988984438652,308.5265869732871,226.5341874267957
166,Sub-Saharan Africa,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,437199.1988671309,535168.7000928499,353244.8724509468
166,Sub-Saharan Africa,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.0730950180351784,0.0892356099687924,0.0593023249259969
166,Sub-Saharan Africa,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,117.7038818366925,144.07948047857437,95.10148425276464
