location_id,location,year,sex,age_group,cause,measure,metric,value,upper,lower
1,Global,1981,Both,All ages,Cardiovascular diseases,Deaths,Number,12106953.586233083,12982491.107948702,11034011.427437907
1,Global,1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2641346017495883,0.2834912603380733,0.2399906799168891
1,Global,1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,265.9790276949421,285.21381017574424,242.40744049618056
64,High-income,1981,Both,All ages,Cardiovascular diseases,Deaths,Number,3347718.048514158,3461537.6349558826,3125191.597144303
64,High-income,1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4474715677870661,0.4626388559381341,0.4179316557494977
64,High-income,1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,391.9664666634997,405.2929955073684,365.9120302926345
64,High-income,1982,Both,All ages,Cardiovascular diseases,Deaths,Number,3307182.952545127,3424657.8510750853,3080775.511091436
64,High-income,1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4441780365395403,0.4603493656808115,0.4138874567761389
64,High-income,1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,384.4776452252309,398.1347283101301,358.15657342465386
137,North Africa and Middle East,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,707394.2953549239,778533.2218278435,631924.4857705393
137,North Africa and Middle East,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2470267623294725,0.2728903455290251,0.2198709657956973
137,North Africa and Middle East,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,272.82725072176186,300.26405344458584,243.72011655824448
1,Global,1982,Both,All ages,Cardiovascular diseases,Deaths,Number,12128839.811705396,13043394.137704782,11069881.472598294
1,Global,1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2640798103761612,0.2844454681234912,0.2398693541163309
1,Global,1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,261.6824278505157,281.41414169488047,238.8351651714702
4,"Southeast Asia, East Asia, and Oceania",1981,Both,All ages,Cardiovascular diseases,Deaths,Number,3787370.667744226,4292431.094877267,3165894.8727378217
4,"Southeast Asia, East Asia, and Oceania",1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.313819445143901,0.353492288746311,0.2638806592156437
4,"Southeast Asia, East Asia, and Oceania",1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,266.6089036384287,302.1622250748269,222.86061626967097
1,Global,1983,Both,All ages,Cardiovascular diseases,Deaths,Number,12319654.30822439,13243432.860258495,11237991.187800135
1,Global,1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2652674490554403,0.2854437519844919,0.241533149202503
1,Global,1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,261.0003190078721,280.5712006853372,238.0845445529581
158,South Asia,1981,Both,All ages,Cardiovascular diseases,Deaths,Number,1229738.3403978038,1456358.8369081314,941754.7950134391
158,South Asia,1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.1112922814322655,0.1337223816791727,0.0866851892553888
158,South Asia,1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,136.3991610950351,161.5352771251737,104.45682612083696
44636,Low-middle SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,976352.890032058,1145849.3653172608,802212.753480668
44636,Low-middle SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.1296197938667892,0.1522246390369026,0.1070433374167454
44636,Low-middle SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,165.28313982260133,193.97656605200748,135.80360549418324
158,South Asia,1982,Both,All ages,Cardiovascular diseases,Deaths,Number,1252749.8918704411,1472664.6053840695,962908.6672682428
158,South Asia,1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.1132634441778897,0.1351968540880163,0.0879337699227444
158,South Asia,1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,135.71622293681628,159.54060678229357,104.31637488282016
166,Sub-Saharan Africa,1981,Both,All ages,Cardiovascular diseases,Deaths,Number,443357.120463238,543902.2356292367,360269.47629112523
166,Sub-Saharan Africa,1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.0727105143404195,0.0890170465005211,0.0592458323515823
166,Sub-Saharan Africa,1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,116.13001515271326,142.46613384537983,94.36659029414989
44639,Middle SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,986486.4722578382,1089854.021701102,878860.998156805
44639,Middle SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2163362407735342,0.2400193835890643,0.1921386709129766
44639,Middle SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,200.9787266641084,222.03799006986813,179.05198833596938
64,High-income,1983,Both,All ages,Cardiovascular diseases,Deaths,Number,3356802.773309238,3483908.8490880453,3121779.3453461435
64,High-income,1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4421711116993969,0.4590541234832426,0.4112631742643867
64,High-income,1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,387.5372043103055,402.211385840968,360.4041469426086
44634,High-middle SDI,1981,Both,All ages,Cardiovascular diseases,Deaths,Number,2121807.4697577893,2371433.930132716,1822363.4104707823
44634,High-middle SDI,1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.278950398197398,0.3106495486984311,0.2408521412323014
44634,High-middle SDI,1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,228.02926730856663,254.8564604782764,195.84820921901533
31,"Central Europe, Eastern Europe, and Central Asia",1981,Both,All ages,Cardiovascular diseases,Deaths,Number,2115834.5448812675,2160705.584564382,2045847.715576305
31,"Central Europe, Eastern Europe, and Central Asia",1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.5258524815102894,0.537487662241166,0.508472436646467
31,"Central Europe, Eastern Europe, and Central Asia",1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,531.4019059832884,542.6714809454444,513.8243810410102
44635,High SDI,1981,Both,All ages,Cardiovascular diseases,Deaths,Number,7136880.489832399,7447643.4220991265,6705852.157322686
44635,High SDI,1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4441254626360756,0.4638715497922339,0.4178641141815937
44635,High SDI,1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,383.44981333598577,400.146462318575,360.29155338209785
44639,Middle SDI,1981,Both,All ages,Cardiovascular diseases,Deaths,Number,999874.579768937,1099848.2404988215,889031.4213143218
44639,Middle SDI,1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2219684305676428,0.2448179171489834,0.197159830331144
44639,Middle SDI,1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,199.1258641140286,219.03570279207693,177.05135581569368
103,Latin America and Caribbean,1981,Both,All ages,Cardiovascular diseases,Deaths,Number,456570.4855528779,469310.81730078463,437957.9485515173
103,Latin America and Caribbean,1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2036627650821189,0.2095898342548628,0.1955792195650484
103,Latin America and Caribbean,1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,138.95224825683405,142.8296292876421,133.28772559507942
137,North Africa and Middle East,1981,Both,All ages,Cardiovascular diseases,Deaths,Number,726364.3786795094,797699.9397118891,652661.9433465565
137,North Africa and Middle East,1981,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.252621302773694,0.279415345766511,0.2268812194255994
137,North Africa and Middle East,1981,Both,All ages,Cardiovascular diseases,Deaths,Rate,271.94553078128246,298.6530450509084,244.3518760195632
44634,High-middle SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,2107864.1391419657,2375540.913156098,1801586.9473537807
44634,High-middle SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2769303863071125,0.3101814399493331,0.2375459095883703
44634,High-middle SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,231.96878337666888,261.42640090202104,198.2632203682064
44637,Low SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,843873.4760826962,1010275.6634005056,689157.1192397346
44637,Low SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.0836002634870139,0.0999013432985989,0.0687999566190651
44637,Low SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,133.00492027752017,159.23196767916326,108.61970461337728
158,South Asia,1983,Both,All ages,Cardiovascular diseases,Deaths,Number,1282803.1215300818,1510208.345889654,1011619.4970673934
158,South Asia,1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.1152063302245487,0.1376595094696998,0.0911759849106728
158,South Asia,1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,135.83331372744857,159.91277273815842,107.1182523738008
166,Sub-Saharan Africa,1983,Both,All ages,Cardiovascular diseases,Deaths,Number,458438.42823257047,554163.5436981875,377102.5686478501
166,Sub-Saharan Africa,1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.0712807480129274,0.0863630048962448,0.058476859974425
166,Sub-Saharan Africa,1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,113.62932573419744,137.3559150782046,93.46928173820312
64,High-income,1984,Both,All ages,Cardiovascular diseases,Deaths,Number,3302531.028916592,3430231.7196217445,3072393.057650672
64,High-income,1984,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4378245731728388,0.4546241044389665,0.4071653102397118
64,High-income,1984,Both,All ages,Cardiovascular diseases,Deaths,Rate,378.7711723274525,393.4173149077645,352.37637742311824
1,Global,1984,Both,All ages,Cardiovascular diseases,Deaths,Number,12417935.629901042,13319756.231630445,11366051.992159236
1,Global,1984,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2653332657963783,0.2852676014494342,0.2421315303419057
1,Global,1984,Both,All ages,Cardiovascular diseases,Deaths,Rate,258.32226891258915,277.0822585706054,236.44061514727184
44634,High-middle SDI,1982,Both,All ages,Cardiovascular diseases,Deaths,Number,2141063.5211857725,2379883.0744419754,1867549.5886666556
44634,High-middle SDI,1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2807117559928793,0.3124007147955597,0.2446609776902659
44634,High-middle SDI,1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,224.59654495708628,249.6486024970847,195.90506353508803
44634,High-middle SDI,1983,Both,All ages,Cardiovascular diseases,Deaths,Number,2162128.002158765,2414438.683640172,1858602.120928007
44634,High-middle SDI,1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2825669098035387,0.3160900175351693,0.245474251563208
44634,High-middle SDI,1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,221.33954793740585,247.16888464786587,190.26725190690203
166,Sub-Saharan Africa,1982,Both,All ages,Cardiovascular diseases,Deaths,Number,451681.418705416,548712.5778463418,369984.2378388652
166,Sub-Saharan Africa,1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.0728949006343154,0.0886156274874333,0.0595877408319715
166,Sub-Saharan Africa,1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,115.10444157929724,139.83142153946332,94.2851030083205
158,South Asia,1984,Both,All ages,Cardiovascular diseases,Deaths,Number,1318372.0916225729,1570320.473640814,1051161.6276001306
158,South Asia,1984,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.1170191318633443,0.1405972986269145,0.0939071560861494
158,South Asia,1984,Both,All ages,Cardiovascular diseases,Deaths,Rate,136.55589335249024,162.65249885850645,108.8784539864846
44635,High SDI,1983,Both,All ages,Cardiovascular diseases,Deaths,Number,7222647.338094611,7528856.426102043,6775064.957800835
44635,High SDI,1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4435662133936978,0.4629214819927598,0.4147023096908792
44635,High SDI,1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,379.37229218277696,395.4560407263166,355.86285781553494
44635,High SDI,1982,Both,All ages,Cardiovascular diseases,Deaths,Number,7096945.489369017,7407697.423823871,6674388.555797094
44635,High SDI,1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.44226107633162,0.4612589222439859,0.4146675723713023
44635,High SDI,1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,377.057856659447,393.5679818300357,354.6075768978391
31,"Central Europe, Eastern Europe, and Central Asia",1982,Both,All ages,Cardiovascular diseases,Deaths,Number,2125334.970504167,2172222.3361503505,2051845.6779141524
31,"Central Europe, Eastern Europe, and Central Asia",1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.5269119870575245,0.5388807585489884,0.5091314539380636
31,"Central Europe, Eastern Europe, and Central Asia",1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,529.6401888510259,541.3246684931596,511.3264249756442
137,North Africa and Middle East,1982,Both,All ages,Cardiovascular diseases,Deaths,Number,737354.4230102068,809954.6687299632,666538.8355637166
137,North Africa and Middle East,1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2489091607549399,0.2766031591820552,0.2195739308742679
137,North Africa and Middle East,1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,268.63684233294106,295.08694577591035,242.836934980498
44634,High-middle SDI,1984,Both,All ages,Cardiovascular diseases,Deaths,Number,2178380.9796982924,2417023.205787867,1873983.830306009
44634,High-middle SDI,1984,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2838176180538849,0.3148890397325457,0.2464562476397988
44634,High-middle SDI,1984,Both,All ages,Cardiovascular diseases,Deaths,Rate,217.6940352738124,241.5424757754182,187.2744510070466
166,Sub-Saharan Africa,1984,Both,All ages,Cardiovascular diseases,Deaths,Number,464356.2936717676,564452.684003627,381878.756560511
166,Sub-Saharan Africa,1984,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.0701408789469562,0.0856315428279305,0.0573421531154584
166,Sub-Saharan Africa,1984,Both,All ages,Cardiovascular diseases,Deaths,Rate,111.94675865280776,136.07794111594131,92.06311958707276
64,High-income,1985,Both,All ages,Cardiovascular diseases,Deaths,Number,3328446.191309613,3458397.948784201,3092643.9155446542
64,High-income,1985,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4337158312355335,0.4503821915784021,0.4030726491306723
64,High-income,1985,Both,All ages,Cardiovascular diseases,Deaths,Rate,379.1884749038175,393.9930431304324,352.3250376760752
1,Global,1985,Both,All ages,Cardiovascular diseases,Deaths,Number,12508892.646832569,13399628.763302252,11475136.302037831
1,Global,1985,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2666330372601438,0.285578226925782,0.2436481662509405
1,Global,1985,Both,All ages,Cardiovascular diseases,Deaths,Rate,255.4892687461834,273.68220759919046,234.3751973371357
44635,High SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Number,7187470.192272641,7500269.842820209,6748181.009819301
44635,High SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4452058127155254,0.4646781960850282,0.4194289675077652
44635,High SDI,1980,Both,All ages,Cardiovascular diseases,Deaths,Rate,390.5239880585438,407.51964351552016,366.65565068065854
103,Latin America and Caribbean,1982,Both,All ages,Cardiovascular diseases,Deaths,Number,459731.9039436917,472581.2596875605,440925.18106643256
103,Latin America and Caribbean,1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2077618241488295,0.2136871877700824,0.1997708157979487
103,Latin America and Caribbean,1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,136.99159972007158,140.82046994557692,131.38754433399305
158,South Asia,1985,Both,All ages,Cardiovascular diseases,Deaths,Number,1355719.033961676,1615879.4826696452,1076940.347721411
158,South Asia,1985,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.1190397832110874,0.1421071394409301,0.0942091335227726
158,South Asia,1985,Both,All ages,Cardiovascular diseases,Deaths,Rate,137.4823232641474,163.86497484151369,109.21161192889444
44635,High SDI,1984,Both,All ages,Cardiovascular diseases,Deaths,Number,7257066.630635512,7565986.092157153,6805096.125120423
44635,High SDI,1984,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4434500676264479,0.462531088870021,0.4144944126689126
44635,High SDI,1984,Both,All ages,Cardiovascular diseases,Deaths,Rate,376.8653553316772,392.9077934903341,353.3941604495288
44639,Middle SDI,1984,Both,All ages,Cardiovascular diseases,Deaths,Number,1036011.3883381304,1138716.0943528204,927686.6136912474
44639,Middle SDI,1984,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2320890430391832,0.2563075878507099,0.2083448196971389
44639,Middle SDI,1984,Both,All ages,Cardiovascular diseases,Deaths,Rate,192.87245529701744,211.9928134731829,172.70581862601054
64,High-income,1986,Both,All ages,Cardiovascular diseases,Deaths,Number,3281398.250995837,3409126.436613159,3044021.6886423817
64,High-income,1986,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4280679023907863,0.4447376564418751,0.3971627427897163
64,High-income,1986,Both,All ages,Cardiovascular diseases,Deaths,Rate,371.3877367544053,385.84397709699925,344.5215237842982
4,"Southeast Asia, East Asia, and Oceania",1982,Both,All ages,Cardiovascular diseases,Deaths,Number,3794804.25112635,4285591.061655511,3231178.482962804
4,"Southeast Asia, East Asia, and Oceania",1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.3158066313481767,0.3538453838966326,0.2695619115372312
4,"Southeast Asia, East Asia, and Oceania",1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,262.08216026688274,295.97757595157753,223.15623705001587
31,"Central Europe, Eastern Europe, and Central Asia",1983,Both,All ages,Cardiovascular diseases,Deaths,Number,2215309.14798461,2264255.8688864144,2134970.4702562806
31,"Central Europe, Eastern Europe, and Central Asia",1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.5319414308575595,0.5432654552307253,0.5130251187842002
31,"Central Europe, Eastern Europe, and Central Asia",1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,547.4388180308351,559.5343465765221,527.5858278430918
44634,High-middle SDI,1985,Both,All ages,Cardiovascular diseases,Deaths,Number,2191011.4324703035,2423166.8042558827,1890151.2507771305
44634,High-middle SDI,1985,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2839047830104612,0.3141455994973926,0.2483202608274927
44634,High-middle SDI,1985,Both,All ages,Cardiovascular diseases,Deaths,Rate,213.7392224201206,236.38662074526653,184.38947994991705
166,Sub-Saharan Africa,1985,Both,All ages,Cardiovascular diseases,Deaths,Number,470876.0514412008,570820.7262775423,382976.7687097372
166,Sub-Saharan Africa,1985,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.0718708178065985,0.0869169579815357,0.058567202960665
166,Sub-Saharan Africa,1985,Both,All ages,Cardiovascular diseases,Deaths,Rate,110.3958661349751,133.8276777770546,89.7880704739237
44639,Middle SDI,1983,Both,All ages,Cardiovascular diseases,Deaths,Number,1025188.2040840423,1129033.3745538678,913075.8703630278
44639,Middle SDI,1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2280353838392742,0.2512742328906691,0.203810165890614
44639,Middle SDI,1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,195.15569700695343,214.9237518315321,173.81389796630907
1,Global,1986,Both,All ages,Cardiovascular diseases,Deaths,Number,12471067.340444174,13370671.464035548,11451766.598331869
1,Global,1986,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2659795937891779,0.2852687965527174,0.2433979327280661
1,Global,1986,Both,All ages,Cardiovascular diseases,Deaths,Rate,250.15548110353964,268.20052056940085,229.70946308667135
44639,Middle SDI,1982,Both,All ages,Cardiovascular diseases,Deaths,Number,1013794.6320940136,1118932.2211533186,897965.8475222539
44639,Middle SDI,1982,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2234621246336952,0.2467377345858422,0.1984256733689048
44639,Middle SDI,1982,Both,All ages,Cardiovascular diseases,Deaths,Rate,197.35509157088856,217.82219394001748,174.8067374348168
44635,High SDI,1985,Both,All ages,Cardiovascular diseases,Deaths,Number,7291108.361914225,7627407.9758213395,6847002.109082903
44635,High SDI,1985,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4427614523085786,0.4617622098119691,0.4130610197628475
44635,High SDI,1985,Both,All ages,Cardiovascular diseases,Deaths,Rate,374.2895760427479,391.5535410895636,351.4913493755298
137,North Africa and Middle East,1983,Both,All ages,Cardiovascular diseases,Deaths,Number,742734.2431210558,823276.0937398251,672238.189805224
137,North Africa and Middle East,1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2574631013414049,0.2862905219224982,0.2288539529234982
137,North Africa and Middle East,1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,263.2407322605761,291.78646841165784,238.25543924599864
103,Latin America and Caribbean,1983,Both,All ages,Cardiovascular diseases,Deaths,Number,481043.65290142247,493912.8529876019,461572.2999802928
103,Latin America and Caribbean,1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2147144779378605,0.2205563076923596,0.206014880338793
103,Latin America and Caribbean,1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,140.43629549601096,144.19334077703513,134.75181206909977
44639,Middle SDI,1985,Both,All ages,Cardiovascular diseases,Deaths,Number,1043860.7127239268,1149679.232899586,938905.179957996
44639,Middle SDI,1985,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2348913224801805,0.2575342758611327,0.2111031599769726
44639,Middle SDI,1985,Both,All ages,Cardiovascular diseases,Deaths,Rate,190.1115553733255,209.38359350320448,170.99668752175205
166,Sub-Saharan Africa,1986,Both,All ages,Cardiovascular diseases,Deaths,Number,476099.2422706269,570321.6980440466,388876.191553222
166,Sub-Saharan Africa,1986,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.0714743346312594,0.0852418441996807,0.0583192924855787
166,Sub-Saharan Africa,1986,Both,All ages,Cardiovascular diseases,Deaths,Rate,108.53509539967592,130.01474148646142,88.65108532329945
44635,High SDI,1986,Both,All ages,Cardiovascular diseases,Deaths,Number,7166967.028387524,7482972.470148198,6702138.811173051
44635,High SDI,1986,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4394784121828665,0.458094292509789,0.4096001777304942
44635,High SDI,1986,Both,All ages,Cardiovascular diseases,Deaths,Rate,363.73870135298847,379.77664439796536,340.14768838863046
44634,High-middle SDI,1986,Both,All ages,Cardiovascular diseases,Deaths,Number,2216794.3460168056,2438037.6603553644,1922858.2773159996
44634,High-middle SDI,1986,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2860945126880193,0.3138769391072847,0.2490763940579342
44634,High-middle SDI,1986,Both,All ages,Cardiovascular diseases,Deaths,Rate,211.185956856423,232.26300494644065,183.18373372068967
1,Global,1987,Both,All ages,Cardiovascular diseases,Deaths,Number,12581132.063745182,13464885.479270585,11556617.415072428
1,Global,1987,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2677026952495518,0.2859229825683448,0.2461176946361099
1,Global,1987,Both,All ages,Cardiovascular diseases,Deaths,Rate,247.9392741318762,265.3556067199713,227.74892742520785
158,South Asia,1986,Both,All ages,Cardiovascular diseases,Deaths,Number,1405547.4026625238,1687775.3995058995,1109426.747631461
158,South Asia,1986,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.122742394073002,0.1473273258767225,0.0977032579544702
158,South Asia,1986,Both,All ages,Cardiovascular diseases,Deaths,Rate,139.67033055826465,167.7155444992815,110.24459244728254
4,"Southeast Asia, East Asia, and Oceania",1983,Both,All ages,Cardiovascular diseases,Deaths,Number,3782522.9411454014,4229331.297389288,3205864.7431348944
4,"Southeast Asia, East Asia, and Oceania",1983,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.3153659800518666,0.3533826773845813,0.2707636598884025
4,"Southeast Asia, East Asia, and Oceania",1983,Both,All ages,Cardiovascular diseases,Deaths,Rate,256.1330203923722,286.38858674371403,217.0846898763045
44639,Middle SDI,1986,Both,All ages,Cardiovascular diseases,Deaths,Number,1059001.5210142222,1161628.4037499677,951245.3710185252
44639,Middle SDI,1986,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2367703722902338,0.2588876788594882,0.2132717192026419
44639,Middle SDI,1986,Both,All ages,Cardiovascular diseases,Deaths,Rate,188.7867806845311,207.08193741368763,169.57723636096463
64,High-income,1987,Both,All ages,Cardiovascular diseases,Deaths,Number,3223365.9260988967,3356531.2783279507,2979970.4335871045
64,High-income,1987,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.4224255108610422,0.4400702896941968,0.390707094407124
64,High-income,1987,Both,All ages,Cardiovascular diseases,Deaths,Rate,362.37830200520455,377.3490609364104,335.0152140672211
1,Global,1988,Both,All ages,Cardiovascular diseases,Deaths,Number,12808061.41860688,13639416.477714488,11774268.531070445
1,Global,1988,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.2702775336288571,0.2889533641048509,0.2489078655962182
1,Global,1988,Both,All ages,Cardiovascular diseases,Deaths,Rate,248.08626416640092,264.189229640178,228.06217097942368
158,South Asia,1987,Both,All ages,Cardiovascular diseases,Deaths,Number,1460394.1823185005,1738989.747453045,1157001.04470187
158,South Asia,1987,Both,All ages,Cardiovascular diseases,Deaths,Percent,0.1275830947090094,0.1521632339222803,0.1015525366426529
158,South Asia,1987,Both,All ages,Cardiovascular diseases,Deaths,Rate,142.31225690822882,169.46079263847713,112.74725133134751
